able,能;有能力的
about,大約;關於
above,上文的;前述的;在上面;在上文;更高;在…之上
according to,根據;按照
across,橫過;寬;在對面;向對面;橫越;穿過
act,行動;法案;扮演
action,動作
actor,男演員
actress,女演員
add,添加
address,地址; 演說;寫上收件人姓名地址;向...致詞
adult,成年的;成熟的;色情的;成年人
afraid,害怕
after,以後;之後;在後面;隨後;在...之後
afternoon,下午;午後
again,再一次
against,反對
age,年齡;使變老;使(酒之)味道變醇;使成熟
ago,以前
agree,同意
agreement,同意
ahead,在前;向前;預先;事前
air,空氣
airmail,航空郵件
airplane,飛機
airport,飛機場
all,所有的;全部;完全地;(比分等)雙方相等;全體;一切;全部財產
allow,允許
almost,幾乎
alone,單獨的;孤單的
along,向前;一起;帶著;來到;去到;沿著
already,已經
also,也
always,總是
am,是;在; be 動詞第一人稱;單數;現在式
among,在...之中
and,和；及；而；就
anger,生氣
angry,生氣的
animal,動物
another,另一個
answer,答案;回答
ant,螞蟻
any,任何的
ape,模仿;大猩猩
appear,出現
apple,蘋果
April,四月
are,是;在; be 動詞第一、第三人稱; 複數; 現在式; 第二次人單、複數; 現在式
area,地區;面積
arm,手臂
army,軍隊;大群
around,到處;四處;周圍;附近;環繞;大約
art,藝術
as,跟...一樣地;同樣地;如同;例如;依照;當...時;以…的身份；作為
ask,問
at,在
August,八月
aunt,姨媽;姑媽
auntie,伯母;嬸母;姑母;姨母;舅母
aunty,伯母;嬸母;姑母;姨母;舅母
autumn,秋季
away,離開
baby,嬰兒
back,後面的;拖欠的;過去的;回原處;背部;後面;向後;追溯;回覆;贊助
bad,壞的
bag,袋子
ball,球;使成球形; 呈球狀
balloon,汽球;像氣球般鼓起(或膨脹);乘氣球上升;激增
banana,香蕉
band,樂團;樂隊
bank,銀行;堤;岸;存(款)於銀行;築堤防護;堆積
bar,棒;條;酒吧;閂住;阻攔;禁止
barber,男理髮師
base,基;底;基部;以...為基地
baseball,棒球
basic,基本的
basket,籃子
basketball,籃球
bat,球棒;蝙蝠;揮打;眨(眼)
bath,洗澡
bathe,洗澡
bathroom,廁所;浴室
be,是;要;有;在
beach,海灘;將(船等)拖上岸
