ability,能力;專門技能
abroad,在國外
absence,缺席
absent,缺席的;不在場的
accept,接受
active,活躍的
addition,加;附加
advance,前進;發展;預付
affair,事件;風流韻事;喜慶活動
aid,幫助;助手;助聽器
aim,瞄準;對準
aircraft,航空器;飛機
airline,航空公司
alarm,向...報警;使驚慌不安
album,相簿;集郵簿;唱片集
alike,相似的
alive,活著的;活躍的
almond,杏仁
aloud,大聲地
alphabet,字母
although,雖然
altogether,完全地;總共
amount,總數;合計;共計
ancient,古代的
ankle,腳踝
anyhow,無論如何;總之
anyplace,任何地方(=anywhere)
anytime,在任何時候
anyway,不管怎樣
anywhere,任何地方
apartment,公寓
appearance,出現;顯露;外貌
appetite,胃口;食慾
apply,塗;敷;應用
apron,圍裙;工作裙
argue,爭論
argument,爭論;
armchair,扶手椅子
arrange,排列;整理
arrangement,安排;準備工作
arrest,逮捕;拘留
arrive,到達
arrow,箭;箭號
artist,藝術家
asleep,睡著的
assistant,助手
attack,進攻;襲擊
attend,出席;參加;照料;伴隨
attention,注意;專心
avoid,避免
baby-sit,當臨時保姆
baby-sitter,保姆
backward,向後的;落後的
bake,烘;烤
bakery,麵包店
balcony,陽臺
bamboo,竹子
banker,銀行家;莊家
barbecue,烤肉
bark,吠聲
basement,地下室
basics,基礎;基本原理(或原則)
basis,基礎
battle,戰鬥;戰役
BBQ,烤肉 barbecue
bead,用珠裝飾
bean,豆莢;豆子
bear,承受;熊
beard,鬍子
bedroom,臥房
beef,牛肉
beep,作嗶嗶聲;吹警笛
beer,啤酒
beetle,甲蟲
beg,乞討;懇求
beginner,新手
belief,相信;信仰
believable,可信的
belt,腰帶
bench,長凳;長椅
bend,折彎;轉彎
besides,並且;除...之外
bet,以(錢;物等)打賭
beyond,在更遠處;越出;晚於;在...那一邊
bill,記入帳;帳單; 鈔票
bind,捆;綁
bitter,苦的;嚴酷的
blackboard,黑板
blank,空白
blind,瞎的;使看不見;使失明;使失去理智
bloody,流血的
board,上車;上船
boil,(水等)沸騰;開;滾
bomb,轟炸;投彈;慘敗
bony,骨的;似骨的
bookcase,書架
borrow,借
boss,老闆
bother,煩惱;麻煩;使人煩惱的人(或事物)
bottle,把...裝入瓶中;約束;抑制(感情);隱藏;瓶子
bow,鞠躬
bowling,保齡球戲
brain,腦;智力;頭腦
branch,出枝;分支;分岔
brand,印...商標於商標
brick,磚塊
brief,簡報;作...的提要;短暫的
broad,寬廣的
broadcast,廣播;廣播節目;散佈;播種
brunch,早午餐
brush,刷;刷子
bun,小圓麵包
bundle,捆;大量
burger,漢堡牛肉餅
burn,燒;燙傷
burst,爆炸;破裂;缺口
business,商業;事
button,扣鈕扣;鈕扣
cabbage,包心菜
cable,纜索;有線電視
cafeteria,自助餐館
calendar,日曆;月曆;行事曆
calm,安靜;鎮定;平靜;無風
cancel,取消
cancer,癌症
candle,蠟燭
captain,隊長;機長;艦長
carpet,在...上鋪地毯;斥責;地毯
carrot,胡蘿蔔
cart,手推車
cartoon,卡通;畫漫畫;畫草圖
cash,兌現;現款
cassette,卡式磁帶
castle,城堡
catsup,果醬;番茄醬
cave,塌落;倒坍;洞穴;洞窟
ceiling,天花板
cell,單人牢房;細胞;蜂房的巢室;電池
central,中央的
century,一世紀
cereal,麥片
chalk,粉筆;使變白;畫出...的草圖;規劃;記下
change,改變;更改;零錢
character,特性;角色;(中文)字
charge,索價;充電
cheap,便宜的
cheat,騙子;欺詐;欺騙;作弊
chemical,化學的
chess,西洋棋
childish,幼稚的
childlike,天真爛漫的
chin,下巴
chocolate,巧克力
choice,上等的;精選的;挑三揀四的;選擇
choose,選擇;挑選
chopstick,筷子
circle,圓圈;集團
citizen,市民;公民
claim,主張;斷言
clap,拍手喝采(聲);霹靂聲;輕拍
classic,典型的;古典的
claw,用爪子抓
clay,黏土
cleaner,清潔工;乾洗店;吸塵器;清潔劑
clerk,店員;辦事員;職員
clever,聰明伶俐的
climate,氣候
closet,壁櫥;衣櫥
cloth,布;(棉;毛;合成纖維等)織物;衣料
clothe,給...穿衣;為...提供衣服
clothes,衣服
clothing,(總稱)衣服;衣著
cloudy,多雲的;陰天的
clown,開玩笑;裝傻;小丑;丑角
club,募集;捐獻;集資;聯合起來;俱樂部;夜總會;社團
coach,訓練;指導;輔導;乘馬車旅行;教練
coal,煤
cock,公雞
cockroach,蟑螂
coin,鑄造(貨幣);創造;杜撰(新詞等);硬幣
collect,收集
colorful,富有色彩的
comb,梳子
comfortable,舒適的
company,公司
compare,比較
complain,抱怨
complete,完成
completion,完成;實現
computer,電腦
confirm,確認
conflict,矛盾;衝突
Confucius,孔子
congratulation,祝賀
consider,考慮
contact,接觸;聯繫
contain,包含;容納
control,支配;控制;操縱裝置;指揮部
controller,主計官;主管;控制器
convenient,方便的
conversation,會話
cooker,炊具;烹調器具
copy,拷貝;抄襲
corner,角落
costly,昂貴的;代價高的
cotton,棉花
cough,咳嗽
countryside,鄉間;農村
county,郡
couple,一對;連接;結合;成婚;交配
courage,勇氣
court,向...獻殷勤;追求;引誘;求婚;法庭；(網球等的)場地
cousin,表(堂)兄弟姊妹
crab,螃蟹
crane,伸(頸);起重機;吊車
crayon,蠟筆
crazy,古怪的;著迷的
cream,奶油色的;淡黃色的;乳黃色的;奶油
create,創造
crime,犯罪
crisis,危機;緊急關頭
crop,作物;收成
cross,越過;渡過;十字架
crow,鴉;烏鴉;得意洋洋;幸災樂禍
crowd,擠滿;聚集;群眾
cruel,殘酷的
