acceptable,可以接受的;令人滿意的
accurate,準確的
actual,實際的;事實上的
additional,附加的;額外的
advanced,先進的;高等的
apparent,明顯的;顯而易見的
arithmetic,算術的
attractive,有吸引力的;引人注目的
automatic,自動的;習慣性的
available,可用的;可得到的;有效的
average,平均的
awake,醒著的
aware,知道的;察覺的
awful,可怕的
bare,裸的;僅僅的
bold,無畏的;大膽的
brass,黃銅製的;黃銅色的
brilliant,明亮的;才華橫溢的;傑出的
capable,有...的能力
capital,可處死刑的
casual,非正式的;隨便的
ceramic,陶器的;製陶藝術的
changeable,易變的;不定的
cheerful,使人感到愉快的
cherry,櫻桃口味的;;鮮紅色的
chill,涼颼颼的
chilly,冷颼颼的
civil,市民的;國民的
classical,古典的
commercial,商業的;商務的
complex,複雜的
confident,有信心的
conscious,神志清醒的;有知覺的
considerable,相當大的;相當多的
constant,固定的;不變的
countable,可計算的;可數的
creative,有創造力(或想像力)的
criminal,犯罪的;犯法的
crisp,脆的;酥的;鬆脆的
crispy,酥脆的;清脆的
crunchy,發嘎吱嘎吱聲的;易碎的
cultural,教養的;人文的
current,現行的
darling,親愛的;心愛的;寵愛的
democratic,有民主精神的
desirable,值得嚮往的;富有魅力的
diligent,勤勉的
dim,微暗的;暗淡的
domestic,國內的
doubtful,懷疑的
dramatic,戲劇性的;引人注目的
drowsy,昏昏欲睡的
drunk,喝醉(酒)的;陶醉的;興奮的
due,應支付的;欠款的
eager,渴望的;急切的
educational,教育的
efficient,效率高的;有能力的
elderly,年長的;上了年紀的
electric,電的
electrical,電的
electronic,電子的
empty,空的
energetic,精力充沛的
enjoyable,快樂的;有樂趣的
environmental,環境的;有關環境(保護)的
evil,邪惡的
expressive,表達的;表情豐富的
extreme,極端的;極度的
faint,頭暈的;暗淡的
fairy,小妖精(似)的;優雅的
fake,假的;冒充的
familiar,熟悉的;常見的
fancy,花俏的;特級的
farther,far的比較級; 更遠的;再往前的
fashionable,時尚的
fond,喜歡的;愛好的
frequent,頻繁的;屢次的
global,全世界的
gradual,逐漸的;逐步的
handy,便利的;靈活的;易於操作的
harmful,有害的
hasty,倉促的;輕率的
historic,歷史上著名的
historical,歷史的;史學的
hollow,空的;凹陷的
holy,神聖的
horrible,可怕的
hourly,以鐘點計算的
humorous,幽默的
icy,冰冷的
ideal,理想的;完美的
immediate,即刻的
impressive,予人深刻印象的
individual,個別的
indoor,室內的;戶內的
industrial,工業的;產業的
inferior,低等的;下級的
inner,內部的
innocent,無罪的;清白的
internal,內部的
ivory,乳白色的
jealous,嫉妒的
joyful,高興的;充滿喜悅的
latter,後者
liberal,自由主義的
lively,精力充沛的;活潑的
loose,鬆的
magical,魔術的;魔法的
major,較多的;主要的
manageable,可控制的
marvelous,了不起的
mathematical,數學的
mature,成熟的;到期的
meaningful,意味深長的;有意義的
medical,醫學的;醫術的;醫療的
mental,精神的;心理的
merry,愉快的;興高采烈的
mighty,強大的;強有力的
minor,較小的;較次要的
missing,缺掉的;失蹤的;找不到的
mobile,移動式的;流動的
moist,潮濕的;微濕的
moral,道德(上)的
musical,音樂的
native,本土的;本國的
nervous,緊張的
noble,崇高的;宏偉的
normal,正常的;正規的
obvious,明顯的;顯著的
odd,奇特的;古怪的;單數的
opposite,相反的;對立的
optimistic,樂觀的
original,最初的;本來的;原始的
outdoor,戶外的;露天的;野外的
outer,外面的;外表的
pale,蒼白的;黯淡的
plastic,可塑的;塑性的;整形的
political,政治的;政治上的
pop,通俗的;流行的
practical,實用的
precious,寶貴的
previous,先的;以前的
primary,主要的;初級的
probable,很可能發生的
proper,適合的;適當的
protective,保護的;防護的
pure,純粹的
queer,古怪的;頭暈眼花的
racial,種族的
