absolute,絕對的;完全的
abstract,抽象的
academic,學術的
accidental,偶然的;意外的
acid,酸性的;有酸味的
adequate,足夠的
admirable,值得讚揚的;絕妙的
aggressive,好鬥的;挑釁的;有進取精神的
agreeable,欣然贊同的
alert,警惕的;機敏的
amateur,業餘的;外行的
ambitious,有野心的
annual,一年一次的;每年的
anxious,焦慮的;掛念的
appropriate,適當的;恰當的
artificial,人工的
artistic,藝術的
ashamed,羞愧的
associate,夥伴的;共事的;副的;聯合的
athletic,運動的;體育的;行動敏捷的
atomic,原子的
audio,聽覺的;聲音的
awkward,笨拙的;尷尬的
bald,禿頭的
bankrupt,破產的;已完全失敗的
broke,一文不名的;破了產的
brutal,野蠻的;粗暴的
characteristic,特有的;獨特的
circular,圓形的;環形的
civilian,百姓的;民用的
clumsy,笨拙的
coarse,粗的;粗糙的
comic,滑稽的
competitive,競爭的
concrete,具體的
consequent,隨之發生的
conservative,保守的;守舊的
consistent,始終如一的;前後一致的
constructive,建設性的;積極的;有助益的
content,滿意的;甘願的
continual,不間斷的;連續的
continuous,連續的;不斷的
contrary,相反的;對立的
conventional,習慣的;慣例的
cooperative,合作的;合作社的
copper,紅銅色的
counter,相反的;反對的;對立的
courageous,英勇的;勇敢的
courteous,有禮貌的
critical,緊要的;關鍵性的;危急的
cunning,狡猾的;奸詐的
damp,有濕氣的;潮濕的
defensible,可防禦的;可辯護的
defensive,防禦的
definite,明確的;確切的
delicate,易碎的;嬌貴的
delightful,令人愉快的;令人高興的
dense,密集的;稠密的
dependable,可靠的;可信任的
dependent,依靠的;依賴的
desperate,極度渴望的
detective,偵查用的;探測用的
digital,數字的
distinct,與其他不同的
distinguished,卓越的;著名的
divine,神授的;天賜的
dominant,佔優勢的;支配的;統治的
durable,經久的;耐用的
dusty,滿是灰塵的
dynamic,動態的
earnest,誠摯的;熱心的
economic,經濟上的;經濟學的
economical,經濟的;節約的
elastic,有彈性的;有彈力的
elegant,優美的;漂亮的
elementary,基本的;初級的;基礎的
emotional,易動情的
enormous,巨大的
envious,嫉妒的;羨慕的
essential,必要的;實質的
eventual,最後的;結果的
evident,明顯的;明白的
experimental,實驗性的;試驗性的
explosive,爆炸(性)的;爆發性的
facial,臉的;面部的
faithful,忠實的;忠誠的
fantastic,奇妙的
fatal,致命的
favorable,適合的
fertile,(土地)肥沃的;富饒的;受精的
fierce,兇猛的;殘酷的
financial,財政的;金融的
flexible,可彎曲的;可變通的
fluent,流利的;流暢的
fortunate,幸運的;僥倖的
fossil,化石的;守舊的
fragrant,香的
functional,機能的;實用的
fundamental,基礎的;根本的
furious,狂怒的
genuine,真的;非偽造的
gifted,有天資的;有天賦的
gigantic,巨大的;龐大的
glorious,壯觀的;壯麗的
graceful,優美的;雅緻的
gracious,親切的;和藹的
grammatical,文法的;合乎文法的
grateful,感謝的;感激的
grave,嚴重的;嚴肅的;認真的
greasy,油膩的
guilty,有罪的
habitual,習以為常的
harsh,粗糙的
healthful,有益於健康的
honorable,可尊敬的
hopeful,抱有希望的
identical,完全相同的
idle,無所事事的
ignorant,無知的;不學無術的
imaginable,能想像的
imaginary,虛構的;幻想的
imaginative,虛構的;幻想的
influential,有影響的
informative,教育性的;有益的
initial,開始的;最初的
intellectual,智力的
intelligent,有才智的
intense,強烈的;劇烈的
intensive,加強的;密集的
intermediate,中等程度的;中級的
intimate,親密的;熟悉的
junior,年紀較輕的;資淺的三年級(生)的
keen,熱心的;敏銳的;渴望的
lawful,合法的
lean,精瘦的;貧乏的
